,cow_name,side_length_shoulderbone,side_f_girth,side_r_girth,rear_width,cow_pixels,sticker_pixels,weight
143,102_b4-2_188_F,1095.7846503761584,508.7592750997273,1016.00196850203,324.01388859121454,842432,11680,188
144,359_b4-2_148_F,976.7957821366757,470.01702096839006,949.2107247603137,318.4022612985027,708624,9169,148
145,481_b4-1_234_F,1048.0543879016966,474.10547349719553,939.8515840280315,397.0113348507823,699249,7045,234
146,24_b4-1_94_M,983.0940951912996,471.128432595614,1044.3754114302003,317.15768948584554,775641,14462,94
147,174_b4-4_154_F,1034.0696301506973,496.25799741666634,964.7098009246097,290.1103238424996,798924,9900,154
148,472_b4-1_229_F,975.982069507427,482.1037232795449,893.0946198471918,394.153523389047,709210,8355,229
149,314_b4-1_179_M,1071.594139588305,543.3681992903155,1082.0226430163095,319.22562553780045,880944,11364,179
150,158_b4-4_148_F,887.36125676074,458.48118827275783,859.2101023614655,277.3048863615641,636673,7677,148
151,184_b4-1_148_F,1121.0160569768839,460.1836589884521,895.0804433122198,316.12813857674865,741325,8681,148
152,451_b4-3_207_F,1033.0484015766153,490.2948092729516,1012.3339369990517,369.0338737839658,774216,7895,207
153,225_b4-4_162_M,1019.9514694337178,507.0009861923347,1098.4284227932196,299.02675465583343,791893,12203,162
154,401_b4-2_190_F,1067.8923166686798,517.0618918466145,1033.234242560708,357.23661626434654,800303,11018,190
155,415_b4-3_199_F,892.161980808418,436.1387393937851,750.2666192761077,313.05750270517393,565068,5655,199
156,275_b4-3_172_F,1102.7823901386892,536.4932432006949,1054.0934493677494,292.0068492347397,840672,10866,172
157,213_b4-4_160_F,986.6027569391847,488.0655693654286,922.0780877995095,291.10994486619654,743060,8564,160
158,447_b4-3_206_F,1104.117747344005,497.2574785762402,937.0133403532737,368.11003789627904,777254,8077,206
159,296_b4-4_174_F,956.8913208928169,464.27578011350107,882.5100565999234,313.0255580619576,683914,8252,174
160,322_b4-3_181_F,989.0788643985878,461.18326075433396,899.20075622744,362.3106401970552,672961,7966,181
161,416_b4-2_160_F,965.9088983957027,443.0722288747062,990.8905085830623,404.0606390135025,679512,9492,160
162,95_b4-3_140_M,1022.5209044317871,500.02499937503126,1027.3816233513232,311.05787242890995,810693,11003,140
163,279_b4-1_172_F,1145.3562764485118,536.8062965353517,1215.346041257386,373.0335105590381,959001,11564,172
164,82_b4-3_136_F,1027.1402046458895,485.0505128334574,978.0511234081785,381.02099679676445,754088,9987,136
165,146_b4-2_247_M,1013.3375548157682,518.8679986277821,848.8068095862568,319.0767932645682,803161,8926,247
166,125_b4-2_185_F,1123.0872628607272,501.36014999199926,942.2340473576616,303.27874966769434,892322,10841,185
167,229_b4-4_163_F,980.7634781128424,447.81469381877145,921.0195437665805,327.0244639166923,677602,7808,163
168,158_b4-2_166_M,973.9697120547435,493.0091277045487,940.1196732331475,316.15818825391824,699570,10035,166
169,209_b4-4_160_M,1030.0174755799048,511.07435858199733,1060.912814513992,322.3042041301975,863851,12101,160
170,194_b4-2_202_F,1077.1745448162058,526.0152089055981,956.0423630781222,346.09247319177575,835771,9288,202
171,455_b4-3_209_F,1055.515040158121,491.1781754109195,1009.1605422329988,482.14935445357594,821063,9540,209
172,259_b4-3_170_F,708.0183613438285,335.0955087732451,623.2896597890904,255.01764644824092,348682,3395,170
173,306_b4-4_177_F,1000.624804809475,430.0569729698613,861.0023228772383,235.10423220350586,649353,7433,177
174,142_b4-4_148_M,972.9465555722986,442.45225731145274,969.4338554022136,320.3513695928269,722331,12069,148
175,213_b4-3_160_F,1093.5776149867004,491.0091648839154,1114.0040394899831,345.63853951780317,841414,10581,160
176,340_b4-3_183_F,1147.115077051993,535.2700253143267,882.0277773403737,348.3231258472512,891387,10650,183
177,473_b4-4_222_F,951.4641348994717,430.0290687848904,867.0051902958828,361.00554012369395,640207,5152,222
178,387_b4-1_197_F,1083.5686411113973,495.1222071367836,1029.2570135782414,410.0012195103815,839179,9974,197
179,21_b4-4_109_F,894.7519209255714,432.0,963.1874168613292,282.29948636155893,571414,11664,109
180,242_b4-4_164_F,1000.6762713285451,447.16104481495256,949.1185384344782,281.0071173475861,737488,8116,164
181,242_b4-4_164_F,1000.6762713285451,447.16104481495256,949.1185384344782,281.0071173475861,737488,8116,164
182,60_b4-4_124_M,1035.8928516019405,510.008823453085,973.2959467705596,337.013352851189,828534,12101,124
183,76_b4-4_129_M,949.0463634617647,470.83330383480734,1074.5701466167764,362.00552481971874,771197,13085,129
184,294_b4-2_170_F,972.8072779333016,430.37657928841804,911.0087815164023,345.0710071854777,651546,8376,170
185,104_b4-4_136_F,1021.4029567217827,479.0093944798995,1014.5048053114386,321.024921150991,782010,10714,136
186,51_b4-1_109_M,905.3667765055221,433.11545804785123,928.2849777950735,324.01388859121454,613110,8925,109
187,365_b4-3_188_F,1016.1820703003965,454.1860852117775,944.0047669371166,325.22146300636433,738985,9315,188
188,211_b4-1_155_F,1066.7567670279857,494.009109227755,949.2107247603137,360.61197983428116,739516,7585,155
189,211_b4-1_155_F,1066.7567670279857,494.009109227755,949.2107247603137,360.61197983428116,739516,7585,155
190,116_b4-3_144_F,972.0092592151578,430.01046498893487,1023.1583455164699,289.4995682207488,743038,8743,144
191,345_b4-2_212_F,984.6755810925749,483.50077559400046,928.0134697298311,295.1372562046344,801336,7490,212
192,376_b4-1_192_F,977.3151999227271,437.2573612873773,876.0570757661854,328.0060975042995,667012,7580,192
193,376_b4-1_192_F,977.3151999227271,437.2573612873773,876.0570757661854,328.0060975042995,667012,7580,192
194,246_b4-3_166_F,1128.6895055771538,508.90568870862506,1045.2530794023044,350.14282800023193,863889,8715,166
195,108_b4-2_164_F,883.4845782468418,435.37225451330727,823.9235401419236,268.06715576511795,625058,6849,164
196,281_b4-1_172_F,1087.4948275739062,490.36822898715616,981.1304704268439,338.11980125393427,786493,9994,172
197,207_b4-1_154_F,975.0512807027126,459.0697114818184,942.0132695456047,344.37189200049414,703848,10053,154
198,21_b4-2_204_F,1044.369666353825,475.00421050765436,927.1380695452,384.29285707647495,689452,7558,204
199,442_b4-1_211_F,1199.2501824056562,535.1345625167562,1030.1242643487242,384.2551235832777,894835,13291,211
200,489_b4-2_183_F,1154.5358374688938,489.00102249381854,1134.099202010124,374.834630203774,893007,10950,183
201,26_b4-1_95_M,982.700361249552,460.04564990878896,886.6521302066556,377.02121956197635,722222,11529,95
202,385_b4-2_177_F,997.3610178867028,484.9917525071947,1008.678838877866,329.013677527242,747109,11358,177
203,365_b4-4_188_F,1050.0295233944614,466.086901768329,931.584671406738,336.0372003216311,730664,8350,188
204,383_b4-1_195_F,1055.128428201989,505.47898076972496,942.0,455.2812317677943,848586,10003,195
205,48_b4-3_124_M,938.416218956173,432.0416646574726,1019.3576408699745,350.0228563965502,667248,10850,124
206,9_b4-2_140_F,1015.2896138540963,474.65882484159084,967.3494714941442,315.0,747578,8735,140
207,224_b4-3_164_F,1010.6656222509995,481.20369907140156,1042.0580598028116,313.1932310890515,734987,9317,164
208,217_b4-3_162_F,1080.6683117404712,470.0861623149526,979.0081715695737,333.02402315748935,784511,8537,162
209,271_b4-4_170_F,1059.8499893852904,487.08315511830216,994.2218062384269,310.0,799965,10292,170
